State,District,Mandi
,,Thrissur
,,Wadakkanchery
,Thiruvananthapuram,Anyara(EEC)
,,Aralamoodu
,,Attingal
,,Chala
,,Kattakada
,,Kunnathukkal
,,Maranelloor
,,Nedumangadu
,,Neyyatinkara
,,Parassala
,,Pothencode
,,Vamanapuram
,Wayanad,Kalpetta
,,Manathavady
,,Pulpally
,,Sultan bathery
Madhya Pradesh,Alirajpur,Alirajpur
,,Alirajpur(F&V)
,,Jobat
,Anuppur,Anuppur
,,Jaithari
,,Kotma
,Ashoknagar,Ashoknagar
,,Ashoknagar(F&V)
,,Chanderi
,,Isagarh
,,Mungawali
,,Piprai
,,Shadora
,Badwani,Anjad
,,Badwani
,,Balwadi
,,Khetia
,,Sendhwa
,Balaghat,Balaghat
,,Balaghat(F&V)
,,Katangi
,,Khairlangi
,,Lalbarra
,,Mohgaon
,,Praswada
,,Varaseoni
,Betul,Betul
,,Bhensdehi
,,Multai
,Bhind,Alampur
,,Bhind
,,Bhind(F&V)
,,Gohad
,,Lahar
,,Mehgaon
,,Mow
,Bhopal,Berasia
,,Bhopal
,,Bhopal(F&V)
,Burhanpur,Burhanpur
,,Burhanpur(F&V)
,Chhatarpur,Badamalhera
,,Bakswaha
,,Bijawar
,,Chhatarpur
,,Harpalpur
,,LavKush Nagar(Laundi)
,,Naugaon
,,Rajnagar
,Chhindwara,Amarwda
,,Chaurai
,,Chhindwara
,,Chhindwara(F&V)
,,Pandhurna
,,Pandhurna(F&V)
,,Saunsar
,,Saunsar (F&V)
,Damoh,Damoh
,,Damoh(F&V)
,,Hata
,,Javera
,,Patharia
,Datia,Bhander
,,Datia
,,Sevda
,Dewas,Bagli
,,Dewas
,,Dewas(F&V)
,,Haatpipliya
,,Kannod
,,Khategaon
,,Loharda
,,Sonkatch
,Dhar,Badnawar
,,Badnawar(F&V)
,,Dhamnod
,,Dhar
,,Dhar(F&V)
,,Gandhwani
,,Kukshi
,,Manawar
,,Rajgarh
,Dindori,Dindori
,,Gorakhpur
,,Shahpura
,Guna,Aron
,,Binaganj
,,Guna
,,Guna(F&V)
,,Kumbhraj
,,Maksudangarh
,,Raghogarh
,Gwalior,Bhitarwar
,,Dabra
,,Lashkar(F&V)
,,Lashkar
,Harda,Harda
,,Harda(F&V)
,,Khirakiya
,,Siroli
,,Timarni
,Hoshangabad,Babai
,,Banapura
,,Bankhedi
,,Hoshangabad
,,Itarsi
,,Pipariya
,,Semriharchand
,Indore,Gautampura
,,Indore
,,Indore(F&V)
,,Mhow
,,Sanwer
,Jabalpur,Jabalpur
,,Jabalpur(F&V)
,,Paatan
,,Shahpura Bhitoni (F&V)
,,Shahpura(Jabalpur)
,,Sihora
,,Sihora(F&V)
,Jhabua,Jhabua
,,Petlawad
,,Thandla
,Katni,Katni
,,Katni(F&V)
,Khandwa,Harsood
,,Khandwa
,,Khandwa(F&V)
,,Pandhan
,,Pandhana(F&V)
,Khargone,Badwaha
,,Bhikangaon
,,Karhi
,,Kasrawad
,,Khargone
,,Sanawad
,,Segaon
,Mandla,Bichhiya
,,Mandla
,,Nainpur
,Mandsaur,Bhanpura
,,Daloda
,,Garoth
,,Mandsaur
,,Mandsaur(F&V)
,,Piplya
,,Shamgarh
,,Shamgarh(F&V)
,,Sitmau
,,Suvasra
,Morena,Ambaha
,,Banmorkalan
,,Jora
,,Kailaras
,,Morena
,,Morena(F&V)
,,Porsa
,,Porsa(F&V)
,,Sabalgarh
,narsingpur,Gadarwada
,,Gotegaon
,,Kareli
,,Narsinghpur
,,Tendukheda
,Neemuch,Javad
,,Manasa
,,Neemuch
,Panna,Ajaygarh
,,Devandranagar
,,Panna
,,Pawai
,,Simariya
,Raisen,Bareli
,,Begamganj
,,Gairatganj
,,Obedullaganj
,,Raisen
,,Silvani
,,Udaipura
,Rajgarh,Biaora
,,Chhapiheda
,,Jeerapur
,,Khilchipur
,,Khujner
,,Kurawar
,,Machalpur
,,Narsinghgarh
,,Pachaur
,,Sarangpur
,,Suthalia
,Ratlam,A lot
,,Jaora
,,Ratlam
,,Ratlam(F&V)
,,Sailana
,,Taal
,Rewa,Baikunthpur
,,Chaakghat
,,Hanumana
,,Rewa
,Sagar,Bamora
,,Banda
,,Bina
,,Deori
,,Garhakota
,,Jaisinagar
,,Kesli
,,Khurai
,,Malthone
,,Rahatgarh
,,Rehli
,,Sagar
,,Sagar(F&V)
,,Shahagarh
,Satna,Amarpatan
,,Mehar
,,Nagod
,,Ramnagar
,,Satna
,,Satna(F&V)
,Sehore,Ashta
,,Baktara
,,Ichhawar
,,Jawar
,,Nasrullaganj
,,Rehati
,,Sehore
,,Shyampur
,Seoni,Barghat
,,Chhpara
,,Ghansour
,,Keolari
,,Lakhnadon
,,Lakhnadon(F&V)
,,Palari
,,Seoni
,Shajapur,Agar
,,Akodia
,,Badod
,,Berachha
,,Kalapipal
,,Maksi
,,Momanbadodiya
,,Nalkehda
,,Shajapur
,,Shajapur(F&V)
,,Shujalpur
,,Soyatkalan
,,Susner
,shahdol,Beohari
,,Budhar
,,Shahdol
,Sheopur,Sheopurbadod
,,Sheopurkalan
,,Syopurkalan(F&V)
,,Vijaypur
,Shivpuri,Badarwas
,,Barad
,,Karera
,,Khaniadhana
,,Khatora
,,Kolaras
,,Magroni
,,Pichhour
,,Pohari
,,Rannod
,,Shivpuri
,,Shivpuri(F&V)
,Sidhi,Sidhi
,singrauli,Singroli
,Tikamgarh,Jatara
,,Khargapur
,,Niwadi
,,Niwadi(F&V)
,,Palera
,,Prithvipur
,,Tikamgarh
,Ujjain,Ujjain(F&V)
,,Badnagar
,,Khachrod
,,Mahidpur
,,Nagda
,,Tarana
,,Ujjain
,,Unhel
,umaria,Umariya
,Vidisha,Ganjbasoda
,,Gulabganj
,,Kurwai
,,Lateri
,,Shamshabad
,,Sironj
,,Vidisha
Maharashtra,ahmadnagar,Ahmednagar
,,Akole
,,Jamkhed
,,Karjat
,,Karjat(Rashin)
,,Kopargaon
,,Newasa
,,Newasa(Ghodegaon)
,,Parner
,,Pathardi
,,Rahata
,,Rahuri
,,Rahuri(Songaon)
,,Rahuri(Vambori)
,,Sangamner
,,Shevgaon
,,Shevgaon(Bodhegaon)
,,Shrigonda
,,Shrigonda(Gogargaon)
,,Shrirampur
,,Shrirampur(Belapur)
,Akola,Akola
,,Akola(Borgaon Manju)
,,Akot
,,Balapur
,,Barshi Takli
,,Murtizapur
,,Patur
,,Telhara
,Amaravati,Achalpur
,,Amarawati
,,Amrawati(Frui & Veg. Market)
,,Anajngaon
,,Chandur Bazar
,,Chandur Railway
,,Daryapur
,,Dhamngaon-Railway
,,Dharni
,,Morshi
,,Nanggaon
,,Tiwasa
,,Varud
,,Varud(Rajura Bazar)
,Aurangabad,Aurangabad
,,Fulmbri
,,Gangapur
,,Kannad
,,Khultabad
,,Lasur Station
,,Paithan
,,Sillod
,,Sillod(Bharadi)
,,Soygaon
,,Vaijpur
,bid,Ambejaogai
,,Beed
,,Gevrai
,,Kada
,,Kada(Ashti)
,,Kaij
,,Kille Dharur
,,Majalgaon
,,Parali Vaijyanath
,,Patoda
,,Vadvani
,Bhandara,Bhandara
,,Lakhandur
,,Lakhani
,,Pavani
,,Tumsar
,Buldhana,Buldhana
,,Buldhana(Dhad)
,,Chikali
,,Deoulgaon Raja
,,Jalgaon Jamod(Aasalgaon)
,,Jalgaon(Jamod)
,,Khamgaon
,,Lonar
,,Malkapur
,,Mehekar
,,Motala
,,Nandura
,,Sangrampur
,,Sangrampur(Varvatbakal)
,,Shegaon
,,Sindkhed Raja
,Chandrapur,Bhadrawati
,,Brahmpuri
,,Chandrapur
,,Chandrapur(Ganjwad)
,,Chimur
,,Gondpimpri
,,Korpana
,,Mul
,,Nagbhid
,,Pombhurni
,,Rajura
,,Savali
,,Sindevahi
,,Varora
,Dhule,Dhule
,,Dondaicha
,,Dondaicha(Sindhkheda)
,,Sakri
,,Shirpur
,Gadchiroli,Aheri
,,Armori
,,Armori(Desaiganj)
,,Chamorshi
,,Gandchiroli
,,Sironcha
,Gondiya,Amgaon
,,Arjuni
,,Devri
,,Gondiya
,,Goregaon
,,Sadak Arjuni
,,Tiroda
,Hingoli,Akhadabalapur
,,Basmat
,,Basmat(Kurunda)
,,Hingoli
,,Hingoli(Kanegoan Naka)
,,Jawala-Bajar
,,Kalamnuri
,,Sengoan
,jalna,Ambad (Vadigodri)
,,Ashti(Jalna)
,,Bhokardan
,,Bhokardan(Pimpalgaon Renu)
,,Ghansawangi
,,Jafrabad
,,Jalana
,,Jalna(Badnapur)
,,Mantha
,,Partur
,,Partur(Vatur)
,Jalgaon,Amalner
,,Bhusaval
,,Bodwad
,,Bodwad(Varangaon)
,,Chalisgaon
,,Chopada
,,Dharangaon
,,Jalgaon
,,Jalgaon(Masawat)
,,Jamner
,,Jamner(Neri)
,,Pachora
,,Pachora(Bhadgaon)
,,Parola
,,Raver
,,Raver(Sauda)
,,Yawal
,Kolhapur,Gadhinglaj
,,Jaysingpur
,,Kolhapur
,,Kolhapur(Laxmipuri)
,,Kolhapur(Malkapur)
,,Vadgaonpeth
,Latur,Ahmedpur
,,Aurad Shahajani
,,Ausa
,,Chakur
,,Devani
,,Jalkot
,,Latur
,,Latur(Murud)
,,Nilanga
,,Renapur
,,Shirur Anantpal
,,Udgir
,,Udgir(Devanibud)
,,Udgir(Hali)
,mumbai city,All India Cottonseed Crushers Association
,,Fruit Market
,,Mumbai
,,Thane Market
,,Vashi New Mumbai
,Nagpur,Bhiwapur
,,Hingna
,,Kalmeshwar
,,Kamthi
,,Katol
,,Mandhal
,,Mauda
,,Nagpur
,,Nagpur(Hingna)
,,Nagpur(Mahatma Phule Market)
,,Narkhed
,,Parshiwani
,,Ramtek
,,Savner
,,Umared
,Nanded,Bhokar
,,Biloli
,,Deglur
,,Dharmabad
,,Hadgaon
,,Hadgaon(Tamsa)
,,Hanegaon
,,Himalyatnagar
,,Islapur
,,Kandhar
,,Kinwat
,,Kundalwadi
,,Kuntur
,,Loha
,,Mahur
,,Mudkhed
,,Mukhed
,,Mukhed(Mukkambad)
,,Naigaon
,,Nanded
,,Umari
,Nandurbar,Akkalkuwa
,,Dhadgaon
,,Nandubar(Koparli)
,,Nandurbar
,,Navapur
,,Shahada
,,Taloda
,Nashik,Chandvad
,,Devala
,,Dindori
,,Dindori(Vani)
,,Ghoti
,,Kalvan
,,Lasalgaon
,,Lasalgaon(Niphad)
,,Lasalgaon(Vinchur)
,,Malegaon
,,Malegaon(Umarane)
,,Manmad
,,Nampur
,,Nandgaon
,,Nashik(Devlali)
,,Nasik
,,Pimpalgaon
,,Pimpalgaon Baswant(Saykheda)
,,Satana
,,Sinner
,,Suragana
,,Umrane
,,Yeola
,Osmanabad,Bhoom
,,Kalamb(Osmanabad)
,,Lohara
,,Murim
,,Osmanabad
,,Paranda
,,Tuljapur
,,Umarga
,,Washi(Thane Market)
,Parbhani,Bori
,,Gangakhed
,,Jintur
,,Jintur(Bori)
,,Manwat
,,Palam
,,Parbhani
,,Pathari
,,Purna
,,Selu
,,Sirsam
,,Sonpeth
,,Tadkalas
,Pune,Baramati
,,Bhor
,,Dound
,,Indapur
,,Indapur(Bhigwan)
,,Indapur(Nimgaon Ketki)
,,Junnar
,,Junnar(Alephata)
,,Junnar(Bhlhe)
,,Junnar(Narayangaon)
,,Junnar(Otur)
,,Khed
,,Khed(Chakan)
,,Khed(Shel Pimpalgaon)
,,Maanachar
,,Mulshi
,,Nira
,,Nira(Saswad)
,,Pune
,,Pune(Hadapsar)
,,Pune(Khadiki)
,,Pune(Manjri)
,,Pune(Moshi)
,,Pune(Pimpri)
,,Shirur
,,Talegaon Dabhade
,Raigad,Alibagh
,,Karjat(Raigad)
,,Khalanpur
,,Mahad
,,Mangaon
,,Murud
,,Panvel
,,Pen
,,Roha
,Ratnagiri,Ratnagiri (Nachane)
,Sangli,Aatpadi
,,Islampur
,,Palus
,,Sangli
,,Sangli(Miraj)
,,"Sangli(Phale, Bhajipura Market)"
,,Shirala
,,Tasgaon
,,Vita
,Satara,Dahivadi
,,Jawali
,,Karad
,,Koregaon
,,Lonand
,,Palthan
,,Patan
,,Satara
,,Vaduj
,,Vai
,solapur,Akkalkot
,,Akluj
,,Barshi
,,Barshi(Vairag)
,,Dudhani
,,Karmala
,,Kurdwadi
,,Kurdwadi(Modnimb)
,,Mangal Wedha
,,Mohol
,,Pandharpur
,,Sangola
,,Solapur
,Sindhudurg,Sindhudurg
,Thane,Bhivandi
,,Dahanu
,,Kalyan
,,Kalyan(Cattle Market)
,,Murbad
,,Palghar
,,Shahapur
,,Ulhasnagar
,,Vasai
,washim,Karanja
,,Malegaon(Vashim)
,,Mangrulpeer
,,Manora
,,Risod
,,Washim
,,Washim(Ansing)
,Wardha,Arvi
,,Ashti
,,Ashti(Karanja)
,,Hinganghat
,,Pulgaon
,,Samudrapur
,,Sindi
,,Sindi(Selu)
,,Wardha
,Yavatmal,Aarni
,,Babhulgaon
,,Bori Arab
,,Darwha
,,Digras
,,Ghatanji
,,Kalamb
,,Mahagaon
,,Maregoan
,,Ner Parasopant
,,Pandhakawada
,,Pusad
,,Ralegaon
,,Umarked(Danki)
,,Umarkhed
,,Vani
,,Yeotmal
,,ZariZamini
Manipur,Bishnupur,Bishenpur
,Chandel,Moreh
,Imphal East,Lamlong Bazaar
,Imphal West,Imphal
,Thoubal,Thoubal
Meghalaya,East Garo Hills,Williamnagar
,East Khasi Hills,Mawiong Regulated Market
,,Shillong
,,Sohra
,ri bhoi,Nongpoh (R-Bhoi)
,South Garo Hills,Baghmara
,,Gasuapara
,South West Garo Hills,Ampati
,South West Khasi Hills,Mawkyrwat
,West Garo Hills,Dadengiri
,,Garobadha
,,Rongram
,,Tura
,jaintia hills',Dawki
,,Jowai
,,Wahiajer
,,Laskein
,West Khasi Hills,Nongstoin
Mizoram,Aizawl,Champhai
,,New Market Aizawl
,lunglei,Super Market Lungli (Bara Bazar)
Nagaland,Dimapur,4th Mile Dimapur
,,Dimapur
,,Niuland
,Kiphire,Kipheri
,Kohima,Jalukie
,,Kohima
,,Tseminyu
,Longleng,Longleng
,Mokokchung,Mangkolemba
,,Mokokchung Town
,,Tuli
,Peren,Tenning
,Phek,Pfatsero
,,Phek
,Tuensang,Tuensang
,Wokha,Baghry
,,Wokha Town
,Zunheboto,Ghathashi
,,Zunheboto
NCT of Delhi,north delhi,Azadpur
,,"Fish,Poultry & Egg Market, Gazipur"
,,"Flower Market,Gazipur"
,,Keshopur
,,Najafgarh
,,Narela
,,Shahdara
Odisha,Anugul,Angaura
,,Angul
,,Angul(Atthamallick)
,,Angul(Jarapada)
,,Pallahara
,,Talcher
,Balasore,Bampada
,,Barikpur
,,Jaleswar
,,Nilagiri
,baragarh,Attabira
,,Bargarh
,,Bargarh(Barapalli)
,,Godabhaga
,,Padampur
,,Sohela
,Bhadrak,Bhadrak
,,Chandabali
,,Sahidngar
,Bolangir,Bolangir
,,Bolangir(Patnagarh)
,,Kantabaji
,,Tusura
,Boudh,Boudh
,,Khunthabandha
,Cuttack,Athagarh
,,Banki
,,Kendupatna
,,Kendupatna(Niali)
,Deogarh,Deogarh
,,Tileibani
,dhenkenal,Dhenkanal
,,Hindol
,,Kamakhyanagar
,,Mottagaon
,gajapathi,Kasinagar
,,Parlakhemundi
,Ganjam,Bhanjanagar
,,Digapahandi
,,Hinjilicut
,Jagatsinghpur,Jagatsinghpur
,,Rahama
,jajapur,Jajpur
,,Jhumpura
,Jharsuguda,Jharsuguda
,Kalahandi,Bhawanipatna
,,Junagarh
,,Kalahandi(Dharamagarh)
,,Kesinga
,,Mukhiguda
,Kandhamal,Kandhamal
,,Tikabali
,kendraparha,Chatta Krushak Bazar
,,Gopa
,,Pattamundai
,,Kendrapara
,,Kendrapara(Marshaghai)
,kendujhar,Anandapur
,,Champua
,,Keonjhar
,,Keonjhar(Dhekikote)
,,Keonjhar(Jhumpura)
,,Saharpada
,khordha,Aiginia Mandi
,,Balugaon
,,Damana Hat
,,Garadipanchan
,,Jatni
,,Pratap Rudrapur
,Koraput,Jeypore
,,Jeypore(Kotpad)
,,Koraput
,,Koraput(Semilguda)
,Malkangiri,Malkanagiri
,,Malkangiri(Korakunda)
,mayurbhanj,Baripada
,,Betnoti
,,Chuliaposi
,,Karanjia
,,Saraskana
,,Udala
,Nayagarh,Bahadajholla
,,Sarankul
,nabarangpur,Nabarangpur(Umerkote)
,,Nawarangpur
,Nuapada,Khariar
,,Khariar Road
,Puri,Dumal
,,Gabadkunda
,,Nimapara
,,Puri(Brahmagiri)
,,Sakhigopal
,raigarh,Gunpur
,,Rayagada
,,Rayagada(Muniguda)
,Sambalpur,Gosala
,,Kuchinda
,,Rairakhol
,,Sahaspur
,,Sambalpur
,subarnapur,Birmaharajpur
,,Dungurapalli
,,Pandkital
,sundargarh,Bonai
,,Panposh
,,Sargipali
Pondicherry,Karaikal,Karaikal
,puduchery,Madagadipet
,,Thattanchavady
Punjab,Amritsar,Ajnala
,,Ajnala (Sudhar)
,,Amritsar
,,Amritsar(Amritsar Mewa Mandi)
,,Amritsar(Chehreta)
,,Amritsar(Takharpura)
,,Attari
,,Chogawan
,,Gehri
,,Gehri(Jandiala mandi)
,,Majitha
,,Mehta
,,Rayya
,,Rayya(Sathiala)
,Barnala,Barnala
,,Bhadaur
,,Bhadaur(Sehna)
,,Dhanaula
,,Dhanula (Kaleke)
,,Mehal Kalan
,,Mehal Kallan (ChananWal)
,,Tapa
,,Tapa(Sadar Bazar)
,,Tapa(Tapa Mandi)
,bathinda,Bathinda
,,Bhagta Bhai Ka
,,Bhagta Bhai Ka (Jalal)
,,Bhagta Bhai Ka (Kalyansukha)
,,Bhagta Bhai Ka(Kotha Guru Ka)
,,Bhucho
,,Goniana
,,Goniana(Mehma Sarja)
,,Maur
,,Raman
,,Rampura Phul
,,Rampuraphul(Bhai Rupan)
,,Rampuraphul(Chowke)
,,Rampuraphul(Dhapali)
,,Rampuraphul(Mehraj)
,,Rampuraphul(Nabha Mandi)
,,Sangat
,,Talwandi Sabo
,,Talwandi Sabo(Kot Fatta)
,,Talwandi Sabo(Shekhupura)
,Faridkot,Faridkot
,,Faridkot (Kotsukhian)
,,Faridkot (Machakikalan)
,,Jaitu
,,Jaitu(Bajakhana)
,,Kotkapura
,,Sadiq
,fatehgarh sahib,Amloh
,,Amloh(Gobind Garh Mandi)
,,Bassi Pathana
,,Chanarthal
,,Khamano
,,Khamano (Sanghol)
,,Sirhind
,Fazilka,Abohar
,,Fazilka
,,Fazilka (Ladhuka)
,,Jalalabad
,firozpur,Ferozepur Cantt(Jhok Harihar)
,,"Ferozepur Cantt, (Sadehasham)"
,,Ferozepur Cantt.
,,Firozepur City
,,Guru Har Sahai
,,Makhu
,,Mallanwala
,,Mallanwala (KhosaDalSinghwala)
,,Mamdot
,,Mamdot(Tibbi Khurd)
,,Talwandi Bhai
,,Talwandi Bhai(Mudki)
,,Zira
,Gurdaspur,Batala
,,Dera Baba Nanak
,,Dhariwal
,,Dinanagar
,,F.G.Churian
,,Gurdaspur
,,Kahnuwan
,,Kalanaur
,,Quadian
,,Sri Har Gobindpur
,,Sri Har Gobindpur(Harechowal)
,Hoshiarpur,Dasuya
,,Garh Shankar
,,Garh Shankar(Mahalpur)
,,GarhShankar (Kotfatuhi)
,,Garhshankar(Saila Khurd)
,,Hoshiarpur
,,Hoshiarpur(Chara Mandi)
,,Hoshiarpur(Sham Churasi)
,,Mukerian
,,Mukerian(Talwara)
,,Tanda UrMar (Miani mandi)
,,Tanda Urmur
,Jalandhar,Adampur
,,Bhogpur
,,Bilga
,,Bilga (Talwan )
,,Goraya
,,Jalandhar Cantt (Jamshedpur Dana Mandi)
,,Jalandhar Cantt(Hoshiarpur Road)
,,Jalandhar Cantt
,,Jalandhar City
,,Jalandhar City(Faintan Ganj)
,,Jalandhar City(Jalandhar)
,,Jalandhar City(Kartar Pur Dana mandi)
,,Lohian Khas
,,Mehatpur
,,Nakodar
,,Nakodar(Sarih)
,,Noor Mehal
,,Noor Mehal(Kot Badal Khan)
,,Phillaur
,,Phillaur(Apra Mandi)
,,Shahkot
,,Shakot (Malsian)
,kapurthala,Bhulath
,,Bhulath (Ibrahimaaaaval)
,,Bhulath (Nadala)
,,Dhilwan
,,Kapurthala
,,Phagwara
,,Sultanpur
,,Sultanpur Lodhi (Tibba)
,Ludhiana,Doraha
,,Doraha (Dhamot)
,,Doraha (Payal)
,,Hathur
,,Jagraon
,,Khanna
,,Kila Raipur
,,Killa Raipur (Jodhan)
,,Ludhiana
,,Ludhiana(Mandi gill Road)
,,Ludhiana(Salem Tabri)
,,Machhiwara
,,Malaoud (Siar)
,,Maloud
,,Mullanpur
,,Mullanpur Dakha (Sawadi)
,,Raikot
,,Raikot (Nathowal)
,,Raikot (Talwandi rai)
,,Sahnewal
,,Samrala
,,Sidhwan Bet
,,Sidhwan Bet (Lodhiwala)
,Mansa,Bareta
,,Bhikhi
,,Boha
,,Budalada
,,Budhlada (Phaphre Bhaike)
,,Mansa
,,Mansa (Bhamekalan)
,,Mansa (Khiala kalan)
,,Mansa(Ubha Buraj Dhilwan)
,,Sardulgarh
,Moga,Ajitwal
,,Ajitwal (Chogawan)
,,Ajitwal (Dala)
,,Badhni Kalan
,,Badhni Kallan (Bilaspur)
,,Baghapurana
,,Dharamkot
,,Fatehgarh Panjtoor
,,Kot ise Khan
,,Moga
,,Nihal Singh Wala
,,Nihal Singh Wala (Himmatpura)
,,Nihal Singh Wala (Rautan)
,Mohali,Banur
,,Banur (Kheragaju)
,,Dera Bassi
,,Kharar
,,Kurali
,,Lalru
,Muktsar,Bariwala
,,Giddarbaha
,,Malout
,,Malout (Kilianwali)
,,Malout (Panniwala)
,,Muktsar
,Nawanshahr,Balachaur
,,Banga
,,Banga (Kataria)
,,Nawan Shahar(Mandi Aur)
,,Nawan Shahar(Mandi Jadla)
,,Nawan Shahar(MandiRaho)
,,Nawan Shahar(Subzi Mandi)
,,Nawanshahar
,Pathankot,Narot J Singh
,,Pathankot
,,Pathankot (Kanwa)
,Patiala,Bhadson
,,Dakala
,,Dudhansadhan
,,Ghanaur
,,Nabha
,,Patiala
,,Patiala(Anaj Mandi Sanaur Road)
,,Patiala(New Anaj Mandi)
,,Patran
,,Patran(Ghagga Mandi)
,,Rajpura
,,Samana
,,Samana(Gajewas)
,,Samana(Kakrala)
,rupnagar,Anandpur Sahib
,,Chamkaur Sahib
,,Chamkaur Sahib (Bela)
,,Morinda
,,Ropar
,Sangrur,Ahmedgarh
,,Amargarh
,,Bhawanigarh
,,Bhawanigarh (Rampura)
,,Cheema
,,Cheema (Lonogal)
,,Dhuri
,,Dirba
,,Khanauri
,,Lehra Gaga
,,Malerkotla
,,Moonak
,,Sangrur
,,Sherpur
,,Sulargharat
,,Sunam
,tarn taran,Bhikhiwind
,,Bhikhiwind (Algo)
,,Bhikhiwind (Basarke)
,,Bhikhiwind (Marrimegha)
,,Bhikhiwind (Sursingh)
,,Bhikhiwind(Khalra)
,,Chabhal
,,Harike
,,Khadur Sahib
,,Khadur Sahib(Fetehabad)
,,Khem karan
,,Khemkaran (Amarkot)
,,Naushera Pannua (Dhotian)
,,Naushera Pannuan
,,Patti
,,Tarantaran
Rajasthan,Ajmer,Ajmer (Grain)
,,Ajmer(F&V)
,,Beawar
,,Bijay Nagar
,,Kekri
,,Madanganj Kishanganj
,,Vijay Nagar(Gulabpura)
,Alwar,Alwar
,,Alwar(FV)
,,Khairthal
,,Khedh(Bodaramev)
,,Khedli(laxmangarh)
,,Kherli
,Banswara,Banswara
,Baran,Anta
,,Atru
,,Atru(Kawai Salpura)
,,Baran
,,Chhabra
,,Chhabra(Chhipabadod)
,Barmer,Balotra
,,Barmer
,Bharatpur,Bayana
,,Bharatpur
,,Bharatpur(Kumer)
,,Deeg
,,Kama
,,Nadwai
,,Nagar
,Bhilwara,Bhilwara
,,Bijolia
,,Gangapur
,,Mandalgarh
,,Shahpura
,Bikaner,Bajju
,,Bikaner (Grain)
,,Bikaner(F&V)
,,Guda(Godaji)
,,Khajuwala
,,Lunkaransar
,,Nokha
,,Sridungargarh
,Bundi,Bundi
,,DEI(Bundi)
,,Keshoraipatan
,,Sumerganj
,chittaurgarh,Badrisadri
,,Begu
,,Chittorgarh
,,Fatehnagar
,,Kapasan
,,Nimbahera
,,Pratapgarh
,Churu,Churu
,,Sardar Shahar
,,Sujangarh(Churu)
,Dausa,Bandikui
,,Dausa
,,Lalsot
,,Lalsot(Mandabari)
,,Mahua Mandabar(Mahua)
,,Mahuwa Mandawar
,Dholpur,Dholpur
,Dungarpur,Dungarpur
,gangangar,Anoopgarh
,,Gajsinghpur
,,Gharsana
,,Jaitsar
,,Kesarisinghpur
,,Lalgarh Jatan
,,Padampur
,,Raisingh Nagar
,,Rawla
,,Ridmalsar
,,Sadulshahar
,,Sri Karanpur
,,Sri Vijayanagar
,,Sriganganagar
,,Sriganganagar(F&V)
,hanumagarh,Bhadara
,,Goluwala
,,Hanumangarh
,,Hanumangarh Town
,,Nohar
,,Pilli Banga
,,Rawatsar
,,Sangriya
,,Suratgarh
,Jaipur,Bagru
,,Chaksu
,,Chomu
,,Chomu(F&V)
,,Jaipur (Grain)
,,Jaipur(Bassi)
,,Jaipur(F&V)
,,Kishan Renwal(Sambhar)
,,Kishangarh Renwal
,,Kotputli
,jaiselmer,Jaisalmer
,jalor,Bheenmal(Ranlwada)
,,Bhinmal
,,Jalore
,,Sanchor
,Jhalawar,Aklera
,,Bhawani Mandi
,,Bhawani Mandi(Choumehla)
,,Jhalarapatan
,,Khanpur
,jhunjhunu,Chirwa
,,Jhunjhunu
,,Nawalgarh
,Jodhpur,Bilara
,,Jodhpur (Grain)(Mandor)
,,Jodhpur(F&V)(Bhadwasia)
,,Jodhpur(Grain)(Bhagat Ki Kothi)
,,Jodhpur(Grain)(Phalodi)
,,Mathania
,,Pipar City
,Karauli,Hindoun
,Kota,Itawa
,,Kota
,,Kota (FV)
,,Kota(Mandana)
,,Ramaganj Mandi
,,Ramgang Mandi(Bapawarkala)
,,Ramgang Mandi(Samod)
,Nagaur,Deedwana
,,Degana
,,Kuchaman City
,,Merta City
,,Nagaur
,Pali,Jaitaran
,,Pali
,,Rani
,,Sojat City
,,Sojat Road
,,Sumerpu
,rajsmand,Rajasamand
,Sikar,Fatehpur
,,Neem Ka Thana
,,Sikar
,,Sri Madhopur
,,Surajgarh
,Sirohi,Abu Road
,sawai madhopur,Gangapur City
,,Sawai Madhopur
,Tonk,Deoli
,,Dooni
,,Malpura
,,Niwai
,,Tonk
,,Uniyara
,Udaipur,Bassi
,,Choti Sadri
,,Udaipur
,,Udaipur(F&V)
Sikkim,east sikkim,East Shikkim
,,Rangpo
,,Rangpo Check Post
,north sikkim,Mangan
,south sikkim,Melli
,,Namchi
,west sikkim,Gyalsing
Tamil Nadu,Ariyalur,Andimadom
,,Ariyalur Market
,,Jayamkondam
,Coimbatore,Anaimalai
,,Annur
,,Coimbatore
,,Karamadai
,,Kianthukadavu
,,Madathukulam
,,Negamam
,,Palladam
,,Pethappampatti
,,Pollachi
,,Pongalur
,,Pudupalayam
,,Senjeri
,,Sevur
,,Sulur
,,Thiruppur
,,Thondamuthur
,,Udumalpet
,Cuddalore,Tittakudi
,,Chidambaram
,,Cuddalore
,,Kattumaner koil
,,Virudhachalam
,,Kurinchipadi
,,Panruti
,,Shrimushnam
,dharampuri,Dharampuri
,,Kambainallur
,,Palakode
,,Papparapatti
,,Pappireddipatti
,,Pennagaram
,Dindigul,Dindigul
,,Gopalpatti
,,Natham
,,Oddunchairum
,,Palani
,,Vathlagundu
,Erode,Alangeyam
,,Anthiyur
,,Avalpoonthurai
,,Bhavani
,,Boothapadi
,,Chithode
